|codigo|tema|ativo|ordem|livro|banco_tematico|versos|verbetes_no_texto|verbetes_do_tema|total_de_itimos|qtd_de_variacoes|qtd_cientifica|
|M0068|ka-os|S|68||joco|4|13|149|187|2657661000|2.66e+09|
|M0069|Lato|S|69|livro vivo;poemas|author|8|32|281|283|43937882486784000000|4.39e+19|
|M0070|Leituras|S|70|livro vivo;metalinguagem|author|10|33|185|136|1024192512000000|1.02e+15|
|M0071|Lero|S|71|variações|author|5|16|313|338|194712336000|1.95e+11|
|M0072|Liberta|S|72||author|12|22|173|130|5530639564800|5.53e+12|
|M0073|Loremipsum|S|73|ensaios|machina|8|14|106|45|1843200|1.84e+06|
|M0074|Machbeth|S|74|poemas;outros autores|persona|10|24|299|163|398340963820800|3.98e+14|
|M0075|Machbrait|S|75|poemas;outros autores|author|14|26|351|206|106563309679411200000|1.07e+20|
|M0076|Manifesto|S|76|livro vivo|author|15|53|545|507|27941438662973671531004544079311667200000|2.79e+40|
|M0077|Manusgrite|S|77|livro vivo;variações;metalinguagem|joco|11|30|161|130|963158999040000|9.63e+14|
|M0078|Manusgrito|S|78|variações;metalinguagem|author|11|29|160|128|842764124160000|8.43e+14|
|M0079|Meteoro|S|79|livro vivo;jocosos|joco|10|33|321|316|65044548902931333120000|6.50e+22|
|M0080|Minuto|S|80|livro vivo|esoteric|6|12|285|213|2817522540000|2.82e+12|
|M0081|Mirante|S|81|livro vivo;poemas;variações|persona|5|19|158|211|7892654740185600|7.89e+15|
|M0082|Niver|S|82||anima|3|11|120|114|3692304|3.69e+06|
|M0083|Niver-B|S|83||anima|5|11|116|111|5654880|5.65e+06|
|M0084|Nonono|S|84|variações;metalinguagem|machina|9|27|426|572|145218793269173944320000|1.45e+23|
|M0085|Nós|S|85|livro vivo;ensaios;sociais|author|10|28|131|122|663896217600|6.64e+11|
|M0086|Nós_nos_nós|S|86||anima|4|18|97|56|5184000|5.18e+06|
|M0087|Oca|S|87|poemas|beauty|4|12|217|160|29295302400|2.93e+10|
|M0088|Ocio|S|88|livro vivo;jocosos|joco|12|46|504|385|29717837074855467417600000000000|2.97e+31|
|M0089|Oco|S|89|poemas|anima|4|12|216|159|26040268800|2.60e+10|
|M0090|Oficia|S|90||joco|15|44|523|526|5933583529929761087878594560000000|5.93e+33|
|M0091|Oficio|S|91|livro vivo;jocosos|author|15|44|536|475|57110137135498442550804480000000|5.71e+31|
|M0092|Ogiva|S|92|poemas;variações|beauty|5|24|253|232|1624147132608000|1.62e+15|
|M0093|Olhares|S|93|poemas;variações|persona|14|50|192|464|167249974512681215092510949376000000|1.67e+35|
|M0094|Ores|S|94||machina|4|15|86|106|267079680|2.67e+08|
|M0095|Palyndro|S|95|ensaios|machina|13|20|58|52|967680|9.68e+05|
|M0096|Papilio|S|96|poemas;outros autores|persona|14|24|576|299|17276809528053504000|1.73e+19|
|M0097|Paroles|S|97|livro vivo;variações;metalinguagem|machina|6|18|421|418|58025870622720000|5.80e+16|
|M0098|Passagens|S|98||machina|7|17|170|118|95777510400|9.58e+10|
